id_matricula_disciplina,faltas_totais,frequencia,situacao_final
217,3,0.95,REPROVADO
218,7,0.88,APROVADO
219,15,0.75,APROVADO
220,13,0.78,APROVADO
221,1,0.98,APROVADO
222,9,0.85,APROVADO
223,32,0.47,REPROVADO
224,5,0.92,APROVADO
225,10,0.83,APROVADO
226,1,0.98,APROVADO
227,5,0.92,APROVADO
228,2,0.97,APROVADO
229,10,0.83,APROVADO
230,31,0.48,REPROVADO
231,2,0.97,APROVADO
232,4,0.93,APROVADO
233,3,0.95,APROVADO
234,3,0.95,APROVADO
235,1,0.98,APROVADO
236,0,1.0,APROVADO
237,2,0.97,REPROVADO
238,1,0.98,APROVADO
239,13,0.78,APROVADO
240,39,0.35,REPROVADO
241,2,0.97,APROVADO
242,0,1.0,REPROVADO
243,0,1.0,APROVADO
244,1,0.98,APROVADO
245,0,1.0,APROVADO
246,9,0.85,REPROVADO
247,4,0.93,APROVADO
248,2,0.97,APROVADO
249,0,1.0,APROVADO
250,10,0.83,REPROVADO
251,5,0.92,APROVADO
252,5,0.92,APROVADO
253,6,0.9,REPROVADO
254,4,0.93,APROVADO
255,3,0.95,APROVADO
256,0,1.0,APROVADO
257,5,0.92,APROVADO
258,22,0.63,REPROVADO
259,1,0.98,APROVADO
260,37,0.38,REPROVADO
261,18,0.7,REPROVADO
262,11,0.82,APROVADO
263,8,0.87,APROVADO
264,23,0.62,REPROVADO
265,5,0.92,APROVADO
266,4,0.93,APROVADO
267,11,0.82,APROVADO
268,8,0.87,APROVADO
269,5,0.92,APROVADO
270,5,0.92,APROVADO
271,13,0.78,APROVADO
272,2,0.97,APROVADO
273,4,0.93,REPROVADO
274,5,0.92,APROVADO
275,8,0.87,APROVADO
276,1,0.98,APROVADO
277,2,0.97,APROVADO
278,0,1.0,APROVADO
279,17,0.72,REPROVADO
280,5,0.92,APROVADO
281,1,0.98,APROVADO
282,4,0.93,APROVADO
283,9,0.85,APROVADO
284,7,0.88,APROVADO
285,11,0.82,APROVADO
286,2,0.97,APROVADO
287,8,0.87,APROVADO
288,1,0.98,APROVADO
289,0,1.0,REPROVADO
290,5,0.92,REPROVADO
291,8,0.87,APROVADO
292,11,0.82,APROVADO
293,12,0.8,APROVADO
294,3,0.95,APROVADO
295,30,0.5,REPROVADO
296,2,0.97,APROVADO
297,8,0.87,APROVADO
298,3,0.95,APROVADO
299,10,0.83,APROVADO
300,4,0.93,APROVADO
301,4,0.93,APROVADO
302,4,0.93,APROVADO
303,9,0.85,APROVADO
304,0,1.0,APROVADO
305,24,0.6,REPROVADO
306,2,0.97,APROVADO
307,3,0.95,APROVADO
308,4,0.93,APROVADO
309,8,0.87,REPROVADO
310,20,0.67,REPROVADO
311,36,0.4,REPROVADO
312,5,0.92,APROVADO
313,5,0.92,APROVADO
314,2,0.97,APROVADO
315,14,0.77,APROVADO
316,6,0.9,APROVADO
317,4,0.93,APROVADO
318,5,0.92,APROVADO
319,5,0.92,REPROVADO
320,14,0.77,APROVADO
321,2,0.97,APROVADO
322,27,0.55,REPROVADO
323,5,0.92,APROVADO
324,2,0.97,APROVADO
325,10,0.83,APROVADO
326,3,0.95,APROVADO
327,1,0.98,APROVADO
328,2,0.97,APROVADO
329,6,0.9,APROVADO
330,4,0.93,APROVADO
331,10,0.83,APROVADO
332,4,0.93,REPROVADO
333,15,0.75,APROVADO
334,10,0.83,APROVADO
335,20,0.67,REPROVADO
336,5,0.92,APROVADO
337,9,0.85,APROVADO
338,2,0.97,REPROVADO
339,10,0.83,APROVADO
340,0,1.0,APROVADO
341,16,0.73,REPROVADO
342,10,0.83,APROVADO
343,1,0.98,APROVADO
344,1,0.98,APROVADO
345,14,0.77,APROVADO
346,1,0.98,APROVADO
347,6,0.9,APROVADO
348,9,0.85,APROVADO
349,3,0.95,APROVADO
350,9,0.85,APROVADO
351,2,0.97,APROVADO
352,2,0.97,APROVADO
353,5,0.92,APROVADO
354,2,0.97,REPROVADO
355,11,0.82,APROVADO
356,10,0.83,APROVADO
357,9,0.85,APROVADO
358,13,0.78,APROVADO
359,5,0.92,APROVADO
360,11,0.82,REPROVADO
361,1,0.98,REPROVADO
362,1,0.98,APROVADO
363,2,0.97,APROVADO
364,11,0.82,APROVADO
365,0,1.0,APROVADO
366,12,0.8,APROVADO
367,14,0.77,APROVADO
368,10,0.83,APROVADO
369,2,0.97,APROVADO
370,11,0.82,APROVADO
371,5,0.92,APROVADO
372,0,1.0,APROVADO
373,0,1.0,APROVADO
374,5,0.92,APROVADO
375,18,0.7,REPROVADO
376,0,1.0,APROVADO
377,12,0.8,APROVADO
378,12,0.8,APROVADO
379,26,0.57,REPROVADO
380,2,0.97,REPROVADO
381,3,0.95,APROVADO
382,1,0.98,APROVADO
383,1,0.98,APROVADO
384,40,0.33,REPROVADO
385,3,0.95,APROVADO
386,2,0.97,APROVADO
387,4,0.93,APROVADO
388,0,1.0,APROVADO
389,5,0.92,APROVADO
390,10,0.83,APROVADO
391,2,0.97,APROVADO
392,13,0.78,REPROVADO
393,12,0.8,APROVADO
394,5,0.92,APROVADO
395,2,0.97,APROVADO
396,7,0.88,APROVADO
397,2,0.97,APROVADO
398,13,0.78,APROVADO
399,1,0.98,APROVADO
400,2,0.97,APROVADO
401,1,0.98,APROVADO
402,2,0.97,APROVADO
403,4,0.93,REPROVADO
404,4,0.93,APROVADO
405,13,0.78,APROVADO
406,5,0.92,REPROVADO
407,3,0.95,APROVADO
408,2,0.97,APROVADO
409,1,0.98,APROVADO
410,2,0.97,APROVADO
411,4,0.93,APROVADO
412,3,0.95,APROVADO
413,3,0.95,APROVADO
414,3,0.95,REPROVADO
415,11,0.82,APROVADO
416,5,0.92,REPROVADO
417,13,0.78,APROVADO
418,5,0.92,APROVADO
419,15,0.75,APROVADO
420,3,0.95,APROVADO
421,6,0.9,APROVADO
422,5,0.92,APROVADO
423,22,0.63,REPROVADO
424,0,1.0,APROVADO
425,2,0.97,APROVADO
426,10,0.83,APROVADO
427,4,0.93,REPROVADO
428,2,0.97,APROVADO
429,37,0.38,REPROVADO
430,1,0.98,APROVADO
431,24,0.6,REPROVADO
432,1,0.98,APROVADO
433,5,0.92,APROVADO
434,4,0.93,APROVADO
435,2,0.97,APROVADO
436,10,0.83,APROVADO
437,1,0.98,APROVADO
438,9,0.85,REPROVADO
439,21,0.65,REPROVADO
440,2,0.97,APROVADO
441,6,0.9,APROVADO
442,1,0.98,APROVADO
443,1,0.98,APROVADO
444,37,0.38,REPROVADO
445,0,1.0,APROVADO
446,6,0.9,APROVADO
447,6,0.9,APROVADO
448,2,0.97,APROVADO
449,5,0.92,APROVADO
450,27,0.55,REPROVADO
451,2,0.97,APROVADO
452,0,1.0,APROVADO
453,4,0.93,APROVADO
454,3,0.95,APROVADO
455,9,0.85,APROVADO
456,1,0.98,APROVADO
457,33,0.45,REPROVADO
458,1,0.98,APROVADO
459,15,0.75,REPROVADO
460,19,0.68,REPROVADO
461,12,0.8,APROVADO
462,0,1.0,APROVADO
463,6,0.9,APROVADO
464,0,1.0,APROVADO
465,40,0.33,REPROVADO
466,15,0.75,APROVADO
467,25,0.58,REPROVADO
468,11,0.82,APROVADO
469,13,0.78,APROVADO
470,28,0.53,REPROVADO
471,2,0.97,APROVADO
472,0,1.0,APROVADO
473,14,0.77,APROVADO
474,4,0.93,APROVADO
475,0,1.0,APROVADO
476,12,0.8,APROVADO
477,3,0.95,APROVADO
478,13,0.78,APROVADO
479,4,0.93,APROVADO
480,2,0.97,APROVADO
481,13,0.78,APROVADO
482,8,0.87,REPROVADO
483,8,0.87,APROVADO
484,15,0.75,APROVADO
485,17,0.72,REPROVADO
486,0,1.0,APROVADO
487,0,1.0,APROVADO
488,13,0.78,APROVADO
489,15,0.75,APROVADO
490,4,0.93,APROVADO
491,1,0.98,APROVADO
492,6,0.9,APROVADO
493,4,0.93,APROVADO
494,4,0.93,APROVADO
495,16,0.73,REPROVADO
496,0,1.0,APROVADO
497,26,0.57,REPROVADO
498,15,0.75,APROVADO
499,3,0.95,APROVADO
500,18,0.7,REPROVADO
501,14,0.77,APROVADO
502,4,0.93,APROVADO
503,8,0.87,APROVADO
504,6,0.9,APROVADO
505,9,0.85,APROVADO
506,1,0.98,APROVADO
507,0,1.0,APROVADO
508,4,0.93,APROVADO
509,12,0.8,APROVADO
510,7,0.88,APROVADO
511,0,1.0,APROVADO
512,13,0.78,APROVADO
513,13,0.78,APROVADO
514,4,0.93,APROVADO
515,2,0.97,APROVADO
516,0,1.0,APROVADO
517,34,0.43,REPROVADO
518,4,0.93,APROVADO
519,12,0.8,APROVADO
520,2,0.97,APROVADO
521,39,0.35,REPROVADO
522,4,0.93,APROVADO
523,3,0.95,APROVADO
524,1,0.98,REPROVADO
525,3,0.95,APROVADO
526,14,0.77,APROVADO
527,3,0.95,APROVADO
528,2,0.97,APROVADO
529,7,0.88,APROVADO
530,5,0.92,APROVADO
531,3,0.95,APROVADO
532,5,0.92,APROVADO
533,1,0.98,REPROVADO
534,5,0.92,APROVADO
535,3,0.95,APROVADO
536,1,0.98,APROVADO
537,11,0.82,APROVADO
538,5,0.92,APROVADO
539,2,0.97,APROVADO
540,8,0.87,APROVADO
541,4,0.93,APROVADO
542,1,0.98,APROVADO
543,4,0.93,APROVADO
544,15,0.75,REPROVADO
545,14,0.77,APROVADO
546,0,1.0,APROVADO
547,2,0.97,APROVADO
548,4,0.93,APROVADO
549,1,0.98,APROVADO
550,4,0.93,APROVADO
551,3,0.95,APROVADO
552,5,0.92,APROVADO
553,2,0.97,APROVADO
554,5,0.92,APROVADO
555,1,0.98,REPROVADO
556,12,0.8,APROVADO
557,3,0.95,APROVADO
558,4,0.93,APROVADO
559,4,0.93,APROVADO
560,6,0.9,APROVADO
561,2,0.97,APROVADO
562,2,0.97,APROVADO
563,5,0.92,REPROVADO
564,0,1.0,APROVADO
565,14,0.77,APROVADO
566,15,0.75,APROVADO
567,3,0.95,APROVADO
568,2,0.97,APROVADO
569,0,1.0,APROVADO
570,1,0.98,APROVADO
571,29,0.52,REPROVADO
572,12,0.8,REPROVADO
573,2,0.97,APROVADO
574,4,0.93,APROVADO
575,5,0.92,APROVADO
576,0,1.0,APROVADO
577,9,0.85,APROVADO
578,40,0.33,REPROVADO
579,15,0.75,APROVADO
580,4,0.93,APROVADO
581,7,0.88,REPROVADO
582,3,0.95,APROVADO
583,0,1.0,APROVADO
584,0,1.0,APROVADO
585,0,1.0,APROVADO
586,10,0.83,APROVADO
587,5,0.92,APROVADO
588,1,0.98,APROVADO
589,0,1.0,APROVADO
590,1,0.98,APROVADO
591,14,0.77,REPROVADO
592,1,0.98,APROVADO
593,6,0.9,APROVADO
594,11,0.82,APROVADO
595,8,0.87,APROVADO
596,14,0.77,REPROVADO
597,4,0.93,REPROVADO
598,11,0.82,REPROVADO
599,4,0.93,APROVADO
600,1,0.98,APROVADO
601,3,0.95,REPROVADO
602,0,1.0,APROVADO
603,7,0.88,APROVADO
604,0,1.0,APROVADO
605,11,0.82,APROVADO
606,2,0.97,APROVADO
607,7,0.88,APROVADO
608,12,0.8,APROVADO
609,10,0.83,APROVADO
610,28,0.53,REPROVADO
611,16,0.73,REPROVADO
612,5,0.92,APROVADO
613,14,0.77,APROVADO
614,3,0.95,APROVADO
615,4,0.93,APROVADO
616,1,0.98,APROVADO
617,4,0.93,APROVADO
618,3,0.95,APROVADO
619,2,0.97,APROVADO
620,0,1.0,APROVADO
621,2,0.97,APROVADO
622,1,0.98,APROVADO
623,23,0.62,REPROVADO
624,8,0.87,APROVADO
625,1,0.98,APROVADO
626,12,0.8,APROVADO
627,0,1.0,APROVADO
628,23,0.62,REPROVADO
629,11,0.82,APROVADO
630,4,0.93,APROVADO
631,2,0.97,APROVADO
632,4,0.93,REPROVADO
633,2,0.97,APROVADO
634,11,0.82,REPROVADO
635,1,0.98,APROVADO
636,10,0.83,APROVADO
637,0,1.0,APROVADO
638,5,0.92,APROVADO
639,5,0.92,APROVADO
640,0,1.0,APROVADO
641,9,0.85,APROVADO
642,4,0.93,APROVADO
643,30,0.5,REPROVADO
644,3,0.95,APROVADO
645,10,0.83,APROVADO
646,2,0.97,APROVADO
647,11,0.82,REPROVADO
648,27,0.55,REPROVADO
649,15,0.75,APROVADO
650,2,0.97,REPROVADO
651,15,0.75,APROVADO
652,3,0.95,REPROVADO
653,4,0.93,APROVADO
654,39,0.35,REPROVADO
655,0,1.0,APROVADO
656,12,0.8,APROVADO
657,15,0.75,APROVADO
658,0,1.0,APROVADO
659,4,0.93,APROVADO
660,10,0.83,APROVADO
661,0,1.0,APROVADO
662,9,0.85,APROVADO
663,2,0.97,APROVADO
664,15,0.75,APROVADO
665,12,0.8,APROVADO
666,3,0.95,APROVADO
667,3,0.95,APROVADO
668,0,1.0,APROVADO
669,12,0.8,APROVADO
670,0,1.0,APROVADO
671,1,0.98,APROVADO
672,7,0.88,APROVADO
673,13,0.78,APROVADO
674,17,0.72,REPROVADO
675,6,0.9,APROVADO
676,1,0.98,APROVADO
677,3,0.95,REPROVADO
678,0,1.0,APROVADO
679,40,0.33,REPROVADO
680,20,0.67,REPROVADO
681,5,0.92,APROVADO
682,5,0.92,APROVADO
683,26,0.57,REPROVADO
684,9,0.85,REPROVADO
685,14,0.77,APROVADO
686,4,0.93,REPROVADO
687,5,0.92,APROVADO
688,1,0.98,APROVADO
689,27,0.55,REPROVADO
690,0,1.0,APROVADO
691,15,0.75,APROVADO
692,15,0.75,APROVADO
693,5,0.92,APROVADO
694,2,0.97,APROVADO
695,5,0.92,APROVADO
696,0,1.0,APROVADO
697,5,0.92,APROVADO
698,5,0.92,APROVADO
699,2,0.97,APROVADO
700,4,0.93,REPROVADO
701,4,0.93,APROVADO
702,14,0.77,APROVADO
703,3,0.95,APROVADO
704,5,0.92,APROVADO
705,3,0.95,APROVADO
706,8,0.87,APROVADO
707,4,0.93,APROVADO
708,1,0.98,REPROVADO
709,1,0.98,APROVADO
710,27,0.55,REPROVADO
711,1,0.98,APROVADO
712,31,0.48,REPROVADO
713,15,0.75,REPROVADO
714,13,0.78,APROVADO
715,3,0.95,APROVADO
716,13,0.78,APROVADO
717,0,1.0,REPROVADO
718,3,0.95,APROVADO
719,2,0.97,APROVADO
720,2,0.97,APROVADO
721,21,0.65,REPROVADO
722,8,0.87,APROVADO
723,15,0.75,APROVADO
724,0,1.0,APROVADO
725,38,0.37,REPROVADO
726,4,0.93,APROVADO
727,13,0.78,APROVADO
728,5,0.92,APROVADO
729,0,1.0,APROVADO
730,11,0.82,APROVADO
731,1,0.98,APROVADO
732,12,0.8,APROVADO
733,15,0.75,APROVADO
734,4,0.93,REPROVADO
735,3,0.95,APROVADO
736,0,1.0,APROVADO
737,15,0.75,APROVADO
738,0,1.0,APROVADO
739,14,0.77,APROVADO
740,7,0.88,APROVADO
741,2,0.97,APROVADO
742,0,1.0,APROVADO
743,15,0.75,APROVADO
744,3,0.95,APROVADO
745,3,0.95,APROVADO
746,1,0.98,APROVADO
747,22,0.63,REPROVADO
748,0,1.0,APROVADO
749,12,0.8,APROVADO
750,0,1.0,APROVADO
751,3,0.95,REPROVADO
752,4,0.93,APROVADO
753,9,0.85,APROVADO
754,4,0.93,APROVADO
755,3,0.95,APROVADO
756,8,0.87,APROVADO
757,2,0.97,APROVADO
758,0,1.0,APROVADO
759,2,0.97,APROVADO
760,5,0.92,APROVADO
761,3,0.95,APROVADO
762,1,0.98,APROVADO
763,8,0.87,APROVADO
764,0,1.0,APROVADO
765,12,0.8,REPROVADO
766,1,0.98,APROVADO
767,7,0.88,APROVADO
768,2,0.97,APROVADO
769,1,0.98,APROVADO
770,13,0.78,APROVADO
771,9,0.85,APROVADO
772,7,0.88,APROVADO
773,3,0.95,APROVADO
774,2,0.97,APROVADO
775,1,0.98,APROVADO
776,2,0.97,APROVADO
777,8,0.87,APROVADO
778,15,0.75,APROVADO
779,0,1.0,APROVADO
780,15,0.75,APROVADO
781,3,0.95,APROVADO
782,3,0.95,APROVADO
783,12,0.8,APROVADO
784,3,0.95,APROVADO
785,4,0.93,APROVADO
786,8,0.87,APROVADO
787,1,0.98,APROVADO
788,1,0.98,APROVADO
789,2,0.97,REPROVADO
790,5,0.92,APROVADO
791,0,1.0,APROVADO
792,2,0.97,APROVADO
793,2,0.97,APROVADO
794,2,0.97,REPROVADO
795,31,0.48,REPROVADO
796,11,0.82,APROVADO
797,1,0.98,APROVADO
798,13,0.78,APROVADO
799,0,1.0,REPROVADO
800,12,0.8,APROVADO
801,14,0.77,APROVADO
802,15,0.75,APROVADO
803,1,0.98,APROVADO
804,10,0.83,APROVADO
805,10,0.83,APROVADO
806,0,1.0,APROVADO
807,33,0.45,REPROVADO
808,5,0.92,APROVADO
809,3,0.95,APROVADO
810,1,0.98,REPROVADO
811,5,0.92,APROVADO
812,22,0.63,REPROVADO
813,15,0.75,APROVADO
814,13,0.78,APROVADO
815,0,1.0,APROVADO
816,14,0.77,APROVADO
817,2,0.97,APROVADO
818,9,0.85,APROVADO
819,3,0.95,APROVADO
820,13,0.78,APROVADO
821,15,0.75,APROVADO
822,3,0.95,APROVADO
823,16,0.73,REPROVADO
824,4,0.93,APROVADO
825,4,0.93,REPROVADO
826,2,0.97,APROVADO
827,0,1.0,APROVADO
828,4,0.93,APROVADO
829,13,0.78,APROVADO
830,0,1.0,APROVADO
831,16,0.73,REPROVADO
832,5,0.92,APROVADO
833,12,0.8,APROVADO
834,3,0.95,REPROVADO
835,26,0.57,REPROVADO
836,4,0.93,APROVADO
837,3,0.95,REPROVADO
838,0,1.0,APROVADO
839,22,0.63,REPROVADO
840,2,0.97,APROVADO
841,13,0.78,APROVADO
842,6,0.9,REPROVADO
843,1,0.98,APROVADO
844,11,0.82,APROVADO
845,15,0.75,APROVADO
846,25,0.58,REPROVADO
847,6,0.9,APROVADO
848,0,1.0,APROVADO
849,14,0.77,APROVADO
850,22,0.63,REPROVADO
851,5,0.92,APROVADO
852,6,0.9,APROVADO
853,0,1.0,APROVADO
854,3,0.95,APROVADO
855,13,0.78,APROVADO
856,2,0.97,APROVADO
857,9,0.85,APROVADO
858,11,0.82,APROVADO
859,10,0.83,APROVADO
860,13,0.78,REPROVADO
861,4,0.93,APROVADO
862,4,0.93,APROVADO
863,2,0.97,APROVADO
864,3,0.95,APROVADO
865,5,0.92,APROVADO
866,5,0.92,REPROVADO
867,15,0.75,APROVADO
868,8,0.87,APROVADO
869,0,1.0,APROVADO
870,3,0.95,REPROVADO
871,4,0.93,REPROVADO
872,1,0.98,APROVADO
873,1,0.98,APROVADO
874,12,0.8,APROVADO
875,5,0.92,APROVADO
876,11,0.82,APROVADO
877,5,0.92,APROVADO
878,4,0.93,APROVADO
879,4,0.93,APROVADO
880,6,0.9,APROVADO
881,12,0.8,APROVADO
882,8,0.87,APROVADO
883,0,1.0,APROVADO
884,0,1.0,APROVADO
885,0,1.0,APROVADO
886,12,0.8,APROVADO
887,5,0.92,APROVADO
888,1,0.98,APROVADO
889,7,0.88,APROVADO
890,4,0.93,APROVADO
891,6,0.9,APROVADO
892,2,0.97,APROVADO
893,4,0.93,REPROVADO
894,13,0.78,APROVADO
895,4,0.93,APROVADO
896,8,0.87,APROVADO
897,1,0.98,APROVADO
898,13,0.78,APROVADO
899,36,0.4,REPROVADO
900,12,0.8,APROVADO
901,1,0.98,APROVADO
902,0,1.0,APROVADO
903,5,0.92,APROVADO
904,6,0.9,REPROVADO
905,0,1.0,APROVADO
906,2,0.97,APROVADO
907,9,0.85,APROVADO
908,8,0.87,APROVADO
909,5,0.92,APROVADO
910,2,0.97,APROVADO
911,2,0.97,APROVADO
912,9,0.85,APROVADO
913,5,0.92,APROVADO
914,27,0.55,REPROVADO
915,5,0.92,APROVADO
916,7,0.88,APROVADO
917,10,0.83,REPROVADO
918,4,0.93,APROVADO
919,4,0.93,APROVADO
920,0,1.0,APROVADO
921,14,0.77,APROVADO
922,12,0.8,APROVADO
923,11,0.82,APROVADO
924,5,0.92,APROVADO
925,12,0.8,APROVADO
926,2,0.97,APROVADO
927,0,1.0,APROVADO
928,3,0.95,APROVADO
929,14,0.77,APROVADO
930,1,0.98,APROVADO
931,0,1.0,REPROVADO
932,29,0.52,REPROVADO
933,10,0.83,APROVADO
934,1,0.98,APROVADO
935,17,0.72,REPROVADO
936,10,0.83,APROVADO
937,4,0.93,APROVADO
938,1,0.98,APROVADO
939,5,0.92,APROVADO
940,2,0.97,APROVADO
941,4,0.93,APROVADO
942,3,0.95,APROVADO
943,14,0.77,APROVADO
944,1,0.98,APROVADO
945,5,0.92,APROVADO
946,3,0.95,APROVADO
947,1,0.98,REPROVADO
948,0,1.0,APROVADO
949,0,1.0,APROVADO
950,15,0.75,APROVADO
951,15,0.75,APROVADO
952,11,0.82,APROVADO
953,11,0.82,APROVADO
954,2,0.97,APROVADO
955,1,0.98,APROVADO
956,5,0.92,APROVADO
957,5,0.92,APROVADO
958,35,0.42,REPROVADO
959,2,0.97,APROVADO
960,4,0.93,APROVADO
961,12,0.8,APROVADO
962,2,0.97,REPROVADO
963,24,0.6,REPROVADO
964,1,0.98,APROVADO
965,3,0.95,APROVADO
966,18,0.7,REPROVADO
967,8,0.87,APROVADO
968,1,0.98,REPROVADO
969,13,0.78,APROVADO
970,32,0.47,REPROVADO
971,0,1.0,APROVADO
972,8,0.87,APROVADO
973,32,0.47,REPROVADO
974,9,0.85,APROVADO
975,0,1.0,REPROVADO
976,9,0.85,APROVADO
977,9,0.85,APROVADO
978,1,0.98,APROVADO
979,5,0.92,APROVADO
980,7,0.88,APROVADO
981,4,0.93,APROVADO
982,7,0.88,APROVADO
