id_registro,id_matricula_disciplina,data_aula,situacao
346,24,2025-12-08,PRESENTE
347,24,2026-02-15,FALTA
348,24,2026-01-12,FALTA
349,24,2026-02-09,PRESENTE
350,24,2026-02-14,PRESENTE
351,24,2026-02-16,PRESENTE
352,24,2026-02-21,PRESENTE
353,24,2026-02-25,FALTA
354,24,2025-12-30,FALTA
355,24,2025-12-09,PRESENTE
356,24,2026-02-17,PRESENTE
357,24,2026-02-20,PRESENTE
358,24,2026-02-23,PRESENTE
359,24,2025-12-09,PRESENTE
360,24,2025-12-05,FALTA
361,25,2026-02-09,PRESENTE
362,25,2026-02-22,PRESENTE
363,25,2026-02-21,PRESENTE
364,25,2025-12-21,PRESENTE
365,25,2025-12-29,FALTA
366,25,2026-02-23,PRESENTE
367,25,2025-12-07,PRESENTE
368,25,2026-01-29,FALTA
369,25,2025-12-20,PRESENTE
370,25,2026-01-29,PRESENTE
371,25,2026-02-19,PRESENTE
372,25,2026-02-12,PRESENTE
373,25,2025-12-21,PRESENTE
374,25,2026-01-27,FALTA
375,25,2025-12-30,PRESENTE
376,26,2025-12-06,FALTA
377,26,2026-02-16,PRESENTE
378,26,2025-12-31,PRESENTE
379,26,2025-12-05,PRESENTE
380,26,2026-01-25,FALTA
381,26,2026-01-15,PRESENTE
382,26,2026-01-08,PRESENTE
383,26,2025-12-31,FALTA
384,26,2026-01-10,FALTA
385,26,2026-02-24,PRESENTE
386,26,2026-02-20,FALTA
387,26,2026-01-13,PRESENTE
388,26,2025-12-31,PRESENTE
389,26,2026-02-09,PRESENTE
390,26,2025-12-25,FALTA
391,27,2025-12-14,PRESENTE
392,27,2026-01-27,PRESENTE
393,27,2026-01-24,PRESENTE
394,27,2026-02-25,FALTA
395,27,2026-01-02,PRESENTE
396,27,2026-01-16,PRESENTE
397,27,2026-02-04,PRESENTE
398,27,2026-01-01,PRESENTE
399,27,2025-12-28,PRESENTE
400,27,2026-01-24,FALTA
401,27,2025-12-06,PRESENTE
402,27,2026-02-10,FALTA
403,27,2025-12-03,PRESENTE
404,27,2025-12-16,PRESENTE
405,27,2026-01-19,FALTA
406,28,2025-11-29,PRESENTE
407,28,2026-01-14,PRESENTE
408,28,2026-01-25,PRESENTE
409,28,2026-02-09,FALTA
410,28,2026-01-04,PRESENTE
411,28,2026-02-10,PRESENTE
412,28,2025-11-28,FALTA
413,28,2025-11-30,FALTA
414,28,2026-02-06,PRESENTE
415,28,2026-01-21,PRESENTE
416,28,2025-12-01,PRESENTE
417,28,2025-12-18,FALTA
418,28,2025-12-05,FALTA
419,28,2025-12-03,FALTA
420,28,2026-02-14,PRESENTE
421,29,2025-12-07,FALTA
422,29,2025-11-28,FALTA
423,29,2025-12-20,PRESENTE
424,29,2026-01-14,FALTA
425,29,2026-01-25,PRESENTE
426,29,2026-02-12,PRESENTE
427,29,2026-02-22,PRESENTE
428,29,2026-02-09,PRESENTE
429,29,2026-01-13,PRESENTE
430,29,2026-01-25,FALTA
431,29,2026-01-21,FALTA
432,29,2026-01-16,FALTA
433,29,2026-02-11,PRESENTE
434,29,2025-12-28,FALTA
435,29,2025-12-12,FALTA
436,30,2026-02-07,PRESENTE
437,30,2025-11-28,PRESENTE
438,30,2025-12-17,PRESENTE
439,30,2026-01-29,PRESENTE
440,30,2026-02-11,PRESENTE
441,30,2026-01-25,PRESENTE
442,30,2025-12-02,PRESENTE
443,30,2026-01-08,FALTA
444,30,2026-01-14,FALTA
445,30,2026-01-26,FALTA
446,30,2025-12-26,PRESENTE
447,30,2026-01-31,PRESENTE
448,30,2025-12-30,FALTA
449,30,2026-01-25,PRESENTE
450,30,2026-02-22,PRESENTE
451,31,2026-02-20,PRESENTE
452,31,2025-12-30,PRESENTE
453,31,2026-01-24,FALTA
454,31,2026-02-04,PRESENTE
455,31,2025-12-05,PRESENTE
456,31,2026-01-24,PRESENTE
457,31,2026-02-02,PRESENTE
458,31,2026-01-23,PRESENTE
459,31,2025-12-10,FALTA
460,31,2026-02-01,FALTA
461,31,2025-12-13,PRESENTE
462,31,2026-01-23,PRESENTE
463,31,2026-02-24,PRESENTE
464,31,2026-02-13,PRESENTE
465,31,2025-11-29,PRESENTE
466,32,2026-02-02,PRESENTE
467,32,2025-12-03,FALTA
468,32,2025-12-10,FALTA
469,32,2026-02-25,PRESENTE
470,32,2025-12-13,PRESENTE
471,32,2026-02-13,PRESENTE
472,32,2025-12-27,PRESENTE
473,32,2025-11-28,FALTA
474,32,2026-02-16,FALTA
475,32,2026-02-17,PRESENTE
476,32,2026-02-15,FALTA
477,32,2025-11-30,PRESENTE
478,32,2025-12-27,PRESENTE
479,32,2025-12-24,PRESENTE
480,32,2026-01-29,FALTA
481,33,2025-12-26,FALTA
482,33,2026-01-17,PRESENTE
483,33,2026-02-21,PRESENTE
484,33,2026-02-13,PRESENTE
485,33,2026-01-16,FALTA
486,33,2026-02-27,PRESENTE
487,33,2026-01-27,FALTA
488,33,2026-02-18,PRESENTE
489,33,2026-02-03,PRESENTE
490,33,2026-02-19,PRESENTE
491,33,2025-12-26,PRESENTE
492,33,2025-12-21,PRESENTE
493,33,2026-01-22,FALTA
494,33,2025-12-07,PRESENTE
495,33,2026-01-12,PRESENTE
496,34,2026-02-02,PRESENTE
497,34,2025-12-04,PRESENTE
498,34,2025-12-06,PRESENTE
499,34,2025-12-28,PRESENTE
500,34,2026-01-31,PRESENTE
501,34,2026-01-10,PRESENTE
502,34,2026-01-30,PRESENTE
503,34,2025-12-27,PRESENTE
504,34,2026-01-30,PRESENTE
505,34,2026-01-21,FALTA
506,34,2026-02-20,FALTA
507,34,2025-12-25,PRESENTE
508,34,2025-12-29,FALTA
509,34,2025-12-03,PRESENTE
510,34,2025-12-14,FALTA
511,35,2025-12-19,PRESENTE
512,35,2025-12-31,PRESENTE
513,35,2025-12-16,FALTA
514,35,2026-01-27,FALTA
515,35,2026-02-09,PRESENTE
516,35,2025-12-18,PRESENTE
517,35,2025-12-04,PRESENTE
518,35,2026-01-27,PRESENTE
519,35,2026-01-23,PRESENTE
520,35,2026-02-09,PRESENTE
521,35,2025-12-16,PRESENTE
522,35,2026-02-03,PRESENTE
523,35,2026-02-19,PRESENTE
524,35,2026-02-04,PRESENTE
525,35,2025-12-03,PRESENTE
526,36,2026-02-23,PRESENTE
527,36,2026-02-13,PRESENTE
528,36,2026-02-01,PRESENTE
529,36,2025-12-25,PRESENTE
530,36,2026-02-21,PRESENTE
531,36,2026-01-17,FALTA
532,36,2026-01-24,PRESENTE
533,36,2026-01-28,PRESENTE
534,36,2025-11-30,PRESENTE
535,36,2026-02-16,PRESENTE
536,36,2026-02-21,PRESENTE
537,36,2026-02-10,PRESENTE
538,36,2026-01-29,PRESENTE
539,36,2025-12-15,PRESENTE
540,36,2025-12-16,PRESENTE
541,37,2025-12-20,FALTA
542,37,2026-01-01,PRESENTE
543,37,2025-12-22,PRESENTE
544,37,2026-01-31,FALTA
545,37,2025-11-30,PRESENTE
546,37,2026-01-19,PRESENTE
547,37,2025-11-28,PRESENTE
548,37,2025-12-26,PRESENTE
549,37,2025-12-24,PRESENTE
550,37,2026-02-07,PRESENTE
551,37,2026-02-08,PRESENTE
552,37,2026-01-11,PRESENTE
553,37,2026-02-03,PRESENTE
554,37,2025-12-18,PRESENTE
555,37,2025-12-16,FALTA
556,38,2026-02-05,PRESENTE
557,38,2025-12-06,PRESENTE
558,38,2026-01-27,PRESENTE
559,38,2026-01-20,PRESENTE
560,38,2026-01-22,PRESENTE
561,38,2026-02-24,PRESENTE
562,38,2026-01-06,FALTA
563,38,2025-11-29,PRESENTE
564,38,2026-01-16,FALTA
565,38,2026-02-17,FALTA
566,38,2026-02-03,PRESENTE
567,38,2025-12-10,PRESENTE
568,38,2026-01-17,PRESENTE
569,38,2025-12-15,PRESENTE
570,38,2026-01-07,FALTA
571,39,2025-12-13,PRESENTE
572,39,2025-12-13,FALTA
573,39,2026-01-29,PRESENTE
574,39,2026-01-15,PRESENTE
575,39,2026-01-16,PRESENTE
576,39,2026-01-02,PRESENTE
577,39,2025-12-26,FALTA
578,39,2026-02-10,PRESENTE
579,39,2026-02-07,PRESENTE
580,39,2026-02-10,PRESENTE
581,39,2026-01-21,FALTA
582,39,2026-02-23,FALTA
583,39,2026-02-12,PRESENTE
584,39,2025-12-23,PRESENTE
585,39,2026-01-04,FALTA
586,40,2026-02-05,PRESENTE
587,40,2026-01-22,PRESENTE
588,40,2026-01-07,FALTA
589,40,2025-12-17,PRESENTE
590,40,2025-12-30,PRESENTE
591,40,2025-12-02,PRESENTE
592,40,2025-12-19,PRESENTE
593,40,2026-01-31,PRESENTE
594,40,2025-12-18,PRESENTE
595,40,2025-12-24,PRESENTE
596,40,2025-12-15,PRESENTE
597,40,2025-12-06,FALTA
598,40,2025-12-05,FALTA
599,40,2026-02-10,PRESENTE
600,40,2026-01-07,FALTA
601,41,2026-01-24,PRESENTE
602,41,2026-02-09,PRESENTE
603,41,2026-01-30,FALTA
604,41,2026-02-25,PRESENTE
605,41,2025-12-20,PRESENTE
606,41,2025-12-03,PRESENTE
607,41,2026-01-27,PRESENTE
608,41,2026-01-15,FALTA
609,41,2026-01-06,PRESENTE
610,41,2026-02-11,PRESENTE
611,41,2025-12-16,PRESENTE
612,41,2025-12-03,PRESENTE
613,41,2025-12-21,PRESENTE
614,41,2025-12-27,PRESENTE
615,41,2026-02-10,PRESENTE
616,42,2026-02-12,PRESENTE
617,42,2026-01-30,PRESENTE
618,42,2025-12-15,FALTA
619,42,2026-01-02,FALTA
620,42,2026-02-15,PRESENTE
621,42,2025-12-28,PRESENTE
622,42,2026-01-12,PRESENTE
623,42,2025-12-16,PRESENTE
624,42,2026-01-01,FALTA
625,42,2026-01-17,PRESENTE
626,42,2025-12-22,PRESENTE
627,42,2026-02-03,PRESENTE
628,42,2026-02-01,PRESENTE
629,42,2025-12-27,PRESENTE
630,42,2026-02-21,PRESENTE
631,43,2026-02-16,PRESENTE
632,43,2026-02-22,FALTA
633,43,2026-01-18,FALTA
634,43,2026-02-04,FALTA
635,43,2026-02-10,PRESENTE
636,43,2026-02-11,FALTA
637,43,2026-02-02,PRESENTE
638,43,2025-12-28,FALTA
639,43,2026-01-21,PRESENTE
640,43,2026-01-08,FALTA
641,43,2026-01-22,PRESENTE
642,43,2026-01-24,PRESENTE
643,43,2026-01-22,FALTA
644,43,2025-12-10,PRESENTE
645,43,2026-01-06,PRESENTE
646,44,2025-12-02,PRESENTE
647,44,2025-12-24,PRESENTE
648,44,2025-12-26,PRESENTE
649,44,2025-12-16,PRESENTE
650,44,2025-12-12,PRESENTE
651,44,2026-01-11,FALTA
652,44,2026-02-09,FALTA
653,44,2026-02-23,FALTA
654,44,2026-01-22,PRESENTE
655,44,2025-11-30,PRESENTE
656,44,2025-12-24,PRESENTE
657,44,2025-12-29,PRESENTE
658,44,2026-01-23,PRESENTE
659,44,2025-12-04,PRESENTE
660,44,2026-01-17,PRESENTE
661,45,2026-02-18,FALTA
662,45,2025-12-14,PRESENTE
663,45,2025-12-21,FALTA
664,45,2025-12-09,PRESENTE
665,45,2025-12-29,PRESENTE
666,45,2025-11-28,PRESENTE
667,45,2025-12-25,FALTA
668,45,2026-02-03,PRESENTE
669,45,2025-12-26,PRESENTE
670,45,2026-02-27,PRESENTE
671,45,2026-02-16,PRESENTE
672,45,2026-02-21,FALTA
673,45,2026-02-22,PRESENTE
674,45,2025-12-19,FALTA
675,45,2026-01-16,PRESENTE
676,46,2026-01-28,FALTA
677,46,2026-02-25,PRESENTE
678,46,2026-02-08,FALTA
679,46,2026-01-31,PRESENTE
680,46,2026-01-16,PRESENTE
681,46,2025-11-29,FALTA
682,46,2026-01-16,PRESENTE
683,46,2026-02-19,PRESENTE
684,46,2025-12-30,PRESENTE
685,46,2026-02-09,PRESENTE
686,46,2026-02-13,PRESENTE
687,46,2026-01-15,PRESENTE
688,46,2026-02-26,PRESENTE
689,46,2026-01-09,FALTA
690,46,2026-01-24,FALTA
691,47,2026-02-12,PRESENTE
692,47,2026-01-02,PRESENTE
693,47,2026-02-23,PRESENTE
694,47,2026-02-08,PRESENTE
695,47,2025-12-22,FALTA
696,47,2026-02-19,PRESENTE
697,47,2026-01-12,FALTA
698,47,2026-02-15,PRESENTE
699,47,2026-02-11,PRESENTE
700,47,2026-02-07,PRESENTE
701,47,2026-02-18,FALTA
702,47,2025-12-20,FALTA
703,47,2025-12-04,PRESENTE
704,47,2025-12-31,FALTA
705,47,2025-12-07,PRESENTE
706,48,2025-11-30,PRESENTE
707,48,2026-01-01,PRESENTE
708,48,2025-12-13,PRESENTE
709,48,2026-02-08,FALTA
710,48,2026-01-30,PRESENTE
711,48,2026-02-20,FALTA
712,48,2026-02-24,PRESENTE
713,48,2025-12-30,PRESENTE
714,48,2025-12-20,PRESENTE
715,48,2025-12-25,FALTA
716,48,2025-12-04,PRESENTE
717,48,2025-12-15,PRESENTE
718,48,2026-01-10,PRESENTE
719,48,2025-12-22,FALTA
720,48,2026-02-17,PRESENTE
721,49,2025-12-09,PRESENTE
722,49,2025-12-17,FALTA
723,49,2026-02-21,PRESENTE
724,49,2026-01-13,PRESENTE
725,49,2026-01-30,PRESENTE
726,49,2026-01-03,PRESENTE
727,49,2026-01-21,PRESENTE
728,49,2025-12-06,FALTA
729,49,2026-02-05,FALTA
730,49,2025-12-19,PRESENTE
731,49,2026-02-08,PRESENTE
732,49,2026-01-09,PRESENTE
733,49,2026-01-07,PRESENTE
734,49,2025-12-27,PRESENTE
735,49,2026-02-10,FALTA
736,50,2026-01-30,PRESENTE
737,50,2025-12-20,FALTA
738,50,2025-12-14,PRESENTE
739,50,2025-12-07,PRESENTE
740,50,2026-02-23,FALTA
741,50,2025-12-10,FALTA
742,50,2025-12-20,PRESENTE
743,50,2025-12-06,FALTA
744,50,2026-01-28,FALTA
745,50,2026-02-15,PRESENTE
746,50,2026-01-29,PRESENTE
747,50,2025-12-14,FALTA
748,50,2025-11-30,PRESENTE
749,50,2026-01-29,PRESENTE
750,50,2025-12-10,PRESENTE
751,51,2025-12-26,PRESENTE
752,51,2026-02-10,PRESENTE
753,51,2026-02-14,FALTA
754,51,2026-01-03,PRESENTE
755,51,2026-02-27,PRESENTE
756,51,2026-02-20,FALTA
757,51,2026-02-06,PRESENTE
758,51,2025-12-12,PRESENTE
759,51,2026-01-22,FALTA
760,51,2026-02-11,PRESENTE
761,51,2026-01-30,PRESENTE
762,51,2026-01-19,PRESENTE
763,51,2026-01-23,PRESENTE
764,51,2026-01-25,PRESENTE
765,51,2025-12-10,PRESENTE
766,52,2026-02-27,FALTA
767,52,2026-02-21,PRESENTE
768,52,2026-01-05,PRESENTE
769,52,2026-01-14,PRESENTE
770,52,2026-01-12,FALTA
771,52,2026-01-01,FALTA
772,52,2026-01-14,PRESENTE
773,52,2025-12-18,FALTA
774,52,2026-01-21,PRESENTE
775,52,2025-12-12,PRESENTE
776,52,2026-01-24,PRESENTE
777,52,2025-12-15,PRESENTE
778,52,2026-02-11,FALTA
779,52,2025-12-09,PRESENTE
780,52,2025-12-15,PRESENTE
781,53,2026-02-09,PRESENTE
782,53,2025-12-02,PRESENTE
783,53,2026-01-25,PRESENTE
784,53,2026-01-14,PRESENTE
785,53,2026-02-18,PRESENTE
786,53,2026-01-01,PRESENTE
787,53,2026-01-21,PRESENTE
788,53,2026-01-17,PRESENTE
789,53,2026-02-24,PRESENTE
790,53,2026-02-12,FALTA
791,53,2026-01-24,PRESENTE
792,53,2026-01-07,PRESENTE
793,53,2025-12-15,PRESENTE
794,53,2026-02-05,PRESENTE
795,53,2026-02-22,FALTA
796,54,2025-11-30,PRESENTE
797,54,2026-01-03,FALTA
798,54,2026-02-17,PRESENTE
799,54,2025-11-29,FALTA
800,54,2025-12-25,PRESENTE
